Estado;Estado;ID SIOE;Sigla;Designação;Tipologia de Entidade;Internacional;;;;;;;;;;;;;
Ativo;;12010000;DGC;Direção-Geral do Consumidor;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;90230000;DGERT;Direção-Geral do Emprego e das Relações de Trabalho;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;101990000;DGES;Direção-Geral do Ensino Superior;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;875780384;DGLAB;Direção-Geral do Livro, dos Arquivos e das Bibliotecas;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;51100000;DGO;Direção-Geral do Orçamento;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;875780385;DGPC;Direção-Geral do Património Cultural;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;875780352;DGT;Direção-Geral do Território;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;53410000;DGTF;Direção-Geral do Tesouro e Finanças;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;86060000;DGACCP;Direção-Geral dos Assuntos Consulares e das Comunidades Portuguesas;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;86050000;DGAEu;Direção-Geral dos Assuntos Europeus;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;875790445;DGEstE;Direção-Geral dos Estabelecimentos Escolares;"AP#
ACE#";;;;;;;;;;;;;;

Ativo;;;DGMARE;Directorate General for Maritime Affairs and Fisheries;;Sim;;;;;;;;;;;;;

Ativo;;875780490;ECFP;Entidade das Contas e Financiamentos Políticos;"OSJ#
ASF#";;;;;;;;;;;;;;

Ativo;;875780379;ESPAP;Entidade de Serviços Partilhados da Administração Pública;"AP#
IP#";;;;;;;;;;;;;;

Ativo;;;ENMC;Entidade Nacional para o Mercado de Combustíveis, EPE;SPE#;;;;;;;;;;;;;;

Ativo;;142900000;ERS;Entidade Reguladora da Saúde;"AP#
ER#";;;;;;;;;;;;;;

Ativo;;83270000;ERSAR;Entidade Reguladora dos Serviços de Águas e Resíduos;"AP#
ER#";;;;;;;;;;;;;;

Ativo;;800002003;ERC;Entidade Reguladora para a Comunicação Social;"AP#
ER#";;;;;;;;;;;;;;

Ativo;;875790342;PSML, SA;Parques Sintra - Monte da Lua, SA;;;;;;;;;;;;;;;

;;;EPAE;Escola Portuguesa de Arte Equestre;AP#;;;;;;;;;;;;;;

Ativo;;85080000;EMGFA;Estado-Maior General das Forças Armadas;AP#;;;;;;;;;;;;;;

Ativo;;102091200;FFUL;Faculdade de Farmácia da Universidade de Lisboa;"AP#
IES#";;;;;;;;;;;;;;

Ativo;;85100000;FAP;Força Aérea Portuguesa;FA#;;;;;;;;;;;;;;

;;;EURATOM;Comunidade Europeia da Energia Atómica;;Sim;;;;;;;;;;;;;

Ativo;;74400000;GEE;Gabinete de Estratégia e Estudos;AP#;;;;;;;;;;;;;;

Ativo;;875790002;GAMA;Gabinete  de Investigação de Acidentes Marítimos e da Autoridade para a  Meteorologia Aeronáutica;"AP#
ACE#
ASF#";;;;;;;;;;;;;;

Ativo;;;FPT;Federação Portuguesa de Táxis;;;;;;;;;;;;;;;

Ativo;;60240000;GEPAC;Gabinete de Estratégia, Planeamento e Avaliação Culturais;AP#;;;;;;;;;;;;;;

Ativo;;875793151;GPIAAF;Gabinete de Prevenção e Investigação de Acidentes com Aeronaves e Acidentes Ferroviários;AP#;;;;;;;;;;;;;;

Ativo;;800007772;GNS;Gabinete Nacional de Segurança;"AP#
ACE#";;;;;;;;;;;;;;

;;;GovReg-M;Governo Regional da Madeira;;;;;;;;;;;;;;;

Ativo;;795000090;GovReg-A;Governo Regional dos Açores;;;;;;;;;;;;;;;

Ativo;;20050000;GNR;Guarda Nacional Repúblicana;"AP#
FSS#
";;;;;;;;;;;;;;

Ativo;;770000377;Grupo IP;Grupo Infraestruturas de Portugal;SPE#;;;;;;;;;;;;;;

Ativo;;875792993;SEAL;Secretário de Estado das Autarquias Locais;Gov#;;;;;;;;;;;;;;

